,Data,Cidade,CodigoDaCidade,Regiao,Pais,Latitude,Longigute,TemperaturaMaxima,TemperaturaMinima,TemperaturaMedia,VaiChover,ChanceDeChuva,CondicaoDoTempo,NascerDoSol,PorDoSol,VelocidadeMaximaDoVento
0,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Aparecida', 'Aparecida', 'Aparecida', 'Aparecida', 'Aparecida']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-22.8469, -22.8469, -22.8469, -22.8469, -22.8469]","[-45.2297, -45.2297, -45.2297, -45.2297, -45.2297]","[14.580000000000041, 14.890000000000043, 14.580000000000041, 15.710000000000036, 16.08000000000004]","[13.100000000000023, 14.890000000000043, 14.580000000000041, 15.710000000000036, 16.08000000000004]","[13.100000000000023, 14.890000000000043, 14.580000000000041, 15.710000000000036, 16.08000000000004]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[3.3120000000000003, 3.24, 4.5, 3.3120000000000003, 3.384]"
1,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Arapeí', 'Arapeí', 'Arapeí', 'Arapeí', 'Arapeí']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-22.6739, -22.6739, -22.6739, -22.6739, -22.6739]","[-44.4478, -44.4478, -44.4478, -44.4478, -44.4478]","[16.32000000000005, 15.660000000000025, 15.140000000000043, 16.04000000000002, 17.129999999999995]","[16.32000000000005, 15.660000000000025, 15.140000000000043, 16.04000000000002, 17.129999999999995]","[16.32000000000005, 15.660000000000025, 15.140000000000043, 16.04000000000002, 17.129999999999995]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[2.3400000000000003, 0.18000000000000002, 1.26, 1.62, 2.592]"
2,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Areias', 'Areias', 'Areias', 'Areias', 'Areias']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['PT', 'PT', 'PT', 'PT', 'PT']","[39.7335, 39.7335, 39.7335, 39.7335, 39.7335]","[-8.3455, -8.3455, -8.3455, -8.3455, -8.3455]","[22.170000000000016, 21.55000000000001, 20.450000000000045, 18.78000000000003, 22.49000000000001]","[21.450000000000045, 21.55000000000001, 20.450000000000045, 18.78000000000003, 22.49000000000001]","[22.170000000000016, 21.55000000000001, 20.450000000000045, 18.78000000000003, 22.49000000000001]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['céu limpo', 'céu limpo', 'céu limpo', 'céu limpo', 'céu limpo']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[6.803999999999999, 5.5440000000000005, 8.712, 6.192, 6.84]"
3,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Bananal', 'Bananal', 'Bananal', 'Bananal', 'Bananal']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-22.6836, -22.6836, -22.6836, -22.6836, -22.6836]","[-44.3233, -44.3233, -44.3233, -44.3233, -44.3233]","[16.24000000000001, 15.270000000000039, 15.25, 15.980000000000018, 16.870000000000005]","[16.24000000000001, 15.270000000000039, 15.25, 15.980000000000018, 16.870000000000005]","[16.24000000000001, 15.270000000000039, 15.25, 15.980000000000018, 16.870000000000005]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[1.512, 1.1880000000000002, 1.692, 2.7720000000000002, 2.952]"
4,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Caçapava', 'Caçapava', 'Caçapava', 'Caçapava', 'Caçapava']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.1008, -23.1008, -23.1008, -23.1008, -23.1008]","[-45.7069, -45.7069, -45.7069, -45.7069, -45.7069]","[14.310000000000002, 14.020000000000039, 13.830000000000041, 15.300000000000011, 16.010000000000048]","[13.140000000000043, 14.020000000000039, 13.830000000000041, 15.300000000000011, 16.010000000000048]","[13.140000000000043, 14.020000000000039, 13.830000000000041, 15.300000000000011, 16.010000000000048]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[4.032000000000001, 2.3760000000000003, 4.104, 5.22, 7.38]"
5,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Cachoeira Paulista', 'Cachoeira Paulista', 'Cachoeira Paulista', 'Cachoeira Paulista', 'Cachoeira Paulista']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-22.665, -22.665, -22.665, -22.665, -22.665]","[-45.0094, -45.0094, -45.0094, -45.0094, -45.0094]","[14.720000000000027, 15.140000000000043, 14.930000000000007, 16.150000000000034, 16.58000000000004]","[14.720000000000027, 15.140000000000043, 14.930000000000007, 16.150000000000034, 16.58000000000004]","[14.720000000000027, 15.140000000000043, 14.930000000000007, 16.150000000000034, 16.58000000000004]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[3.168, 1.584, 4.5, 4.968, 5.760000000000001]"
6,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Campos do Jordão', 'Campos do Jordão', 'Campos do Jordão', 'Campos do Jordão', 'Campos do Jordão']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-22.7394, -22.7394, -22.7394, -22.7394, -22.7394]","[-45.5914, -45.5914, -45.5914, -45.5914, -45.5914]","[9.710000000000036, 10.120000000000005, 9.950000000000045, 10.620000000000005, 10.689999999999998]","[6.350000000000023, 10.120000000000005, 9.950000000000045, 10.620000000000005, 10.689999999999998]","[6.350000000000023, 10.120000000000005, 9.950000000000045, 10.620000000000005, 10.689999999999998]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[4.680000000000001, 3.3120000000000003, 6.264, 5.4, 7.308]"
7,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Canas', 'Canas', 'Canas', 'Canas', 'Canas']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['CR', 'CR', 'CR', 'CR', 'CR']","[10.4294, 10.4294, 10.4294, 10.4294, 10.4294]","[-85.0931, -85.0931, -85.0931, -85.0931, -85.0931]","[26.439999999999998, 24.620000000000005, 23.54000000000002, 23.390000000000043, 23.27000000000004]","[24.460000000000036, 24.620000000000005, 23.54000000000002, 23.390000000000043, 23.27000000000004]","[26.439999999999998, 24.620000000000005, 23.54000000000002, 23.390000000000043, 23.27000000000004]","['sim', 'sim', 'sim', 'sim', 'sim']","[0.24, 0.41, 0.6, 1, 0.61]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[14.544, 8.64, 6.372, 4.5, 6.444]"
8,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Caraguatatuba', 'Caraguatatuba', 'Caraguatatuba', 'Caraguatatuba', 'Caraguatatuba']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.6338, -23.6338, -23.6338, -23.6338, -23.6338]","[-45.4899, -45.4899, -45.4899, -45.4899, -45.4899]","[19.629999999999995, 17.30000000000001, 17.350000000000023, 19.680000000000007, 21.160000000000025]","[19.629999999999995, 17.30000000000001, 17.350000000000023, 19.680000000000007, 21.160000000000025]","[19.629999999999995, 17.30000000000001, 17.350000000000023, 19.680000000000007, 21.160000000000025]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[7.74, 2.628, 6.6240000000000006, 8.388, 9.72]"
9,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Cruzeiro', 'Cruzeiro', 'Cruzeiro', 'Cruzeiro', 'Cruzeiro']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-22.5761, -22.5761, -22.5761, -22.5761, -22.5761]","[-44.9628, -44.9628, -44.9628, -44.9628, -44.9628]","[15.260000000000048, 15.560000000000002, 15.480000000000018, 16.400000000000034, 17.0]","[15.260000000000048, 15.560000000000002, 15.480000000000018, 16.400000000000034, 17.0]","[15.260000000000048, 15.560000000000002, 15.480000000000018, 16.400000000000034, 17.0]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[3.7800000000000002, 1.6560000000000001, 5.004, 5.4, 6.336]"
10,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Cunha', 'Cunha', 'Cunha', 'Cunha', 'Cunha']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.0744, -23.0744, -23.0744, -23.0744, -23.0744]","[-44.9597, -44.9597, -44.9597, -44.9597, -44.9597]","[13.910000000000025, 12.550000000000011, 13.120000000000005, 14.640000000000043, 14.939999999999998]","[13.910000000000025, 12.550000000000011, 13.120000000000005, 14.640000000000043, 14.939999999999998]","[13.910000000000025, 12.550000000000011, 13.120000000000005, 14.640000000000043, 14.939999999999998]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[4.356, 2.988, 4.248, 3.3480000000000003, 5.904]"
11,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Guaratinguetá', 'Guaratinguetá', 'Guaratinguetá', 'Guaratinguetá', 'Guaratinguetá']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-22.8164, -22.8164, -22.8164, -22.8164, -22.8164]","[-45.1925, -45.1925, -45.1925, -45.1925, -45.1925]","[14.689999999999998, 15.080000000000041, 14.689999999999998, 15.890000000000043, 16.28000000000003]","[13.270000000000039, 15.080000000000041, 14.689999999999998, 15.890000000000043, 16.28000000000003]","[13.270000000000039, 15.080000000000041, 14.689999999999998, 15.890000000000043, 16.28000000000003]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[3.3120000000000003, 3.24, 4.5, 3.492, 3.672]"
12,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Igaratá', 'Igaratá', 'Igaratá', 'Igaratá', 'Igaratá']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.2044, -23.2044, -23.2044, -23.2044, -23.2044]","[-46.1561, -46.1561, -46.1561, -46.1561, -46.1561]","[15.390000000000043, 13.03000000000003, 12.970000000000027, 14.360000000000014, 14.930000000000007]","[13.720000000000027, 13.03000000000003, 12.970000000000027, 14.360000000000014, 14.930000000000007]","[15.390000000000043, 13.03000000000003, 12.970000000000027, 14.360000000000014, 14.930000000000007]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[4.392, 1.728, 4.212, 3.528, 3.9960000000000004]"
13,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Ilhabela', 'Ilhabela', 'Ilhabela', 'Ilhabela', 'Ilhabela']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.7781, -23.7781, -23.7781, -23.7781, -23.7781]","[-45.3581, -45.3581, -45.3581, -45.3581, -45.3581]","[20.950000000000045, 18.730000000000018, 18.52000000000004, 20.350000000000023, 22.230000000000018]","[20.950000000000045, 18.730000000000018, 18.52000000000004, 20.350000000000023, 22.230000000000018]","[20.950000000000045, 18.730000000000018, 18.52000000000004, 20.350000000000023, 22.230000000000018]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[5.6160000000000005, 3.672, 6.696000000000001, 6.6240000000000006, 7.74]"
14,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Jacareí', 'Jacareí', 'Jacareí', 'Jacareí', 'Jacareí']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.3053, -23.3053, -23.3053, -23.3053, -23.3053]","[-45.9658, -45.9658, -45.9658, -45.9658, -45.9658]","[16.400000000000034, 14.470000000000027, 14.220000000000027, 15.400000000000034, 16.0]","[15.010000000000048, 14.470000000000027, 14.220000000000027, 15.400000000000034, 16.0]","[16.400000000000034, 14.470000000000027, 14.220000000000027, 15.400000000000034, 16.0]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['céu limpo', 'céu limpo', 'céu limpo', 'céu limpo', 'céu limpo']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[4.6080000000000005, 2.232, 3.744, 3.744, 4.068]"
15,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Jambeiro', 'Jambeiro', 'Jambeiro', 'Jambeiro', 'Jambeiro']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.2536, -23.2536, -23.2536, -23.2536, -23.2536]","[-45.6878, -45.6878, -45.6878, -45.6878, -45.6878]","[15.430000000000007, 13.07000000000005, 12.920000000000016, 14.340000000000032, 14.930000000000007]","[13.57000000000005, 13.07000000000005, 12.920000000000016, 14.340000000000032, 14.930000000000007]","[15.430000000000007, 13.07000000000005, 12.920000000000016, 14.340000000000032, 14.930000000000007]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['céu limpo', 'céu limpo', 'céu limpo', 'céu limpo', 'céu limpo']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[4.824000000000001, 4.392, 4.5, 6.156, 8.208]"
16,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Lagoinha', 'Lagoinha', 'Lagoinha', 'Lagoinha', 'Lagoinha']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-16.7193, -16.7193, -16.7193, -16.7193, -16.7193]","[-42.5025, -42.5025, -42.5025, -42.5025, -42.5025]","[15.060000000000002, 16.27000000000004, 14.830000000000041, 14.180000000000007, 14.400000000000034]","[15.060000000000002, 16.27000000000004, 14.830000000000041, 14.180000000000007, 14.400000000000034]","[15.060000000000002, 16.27000000000004, 14.830000000000041, 14.180000000000007, 14.400000000000034]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['céu limpo', 'céu limpo', 'céu limpo', 'céu limpo', 'céu limpo']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[3.024, 5.148, 3.24, 2.52, 1.548]"
17,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Lavrinhas', 'Lavrinhas', 'Lavrinhas', 'Lavrinhas', 'Lavrinhas']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-22.5708, -22.5708, -22.5708, -22.5708, -22.5708]","[-44.9022, -44.9022, -44.9022, -44.9022, -44.9022]","[15.550000000000011, 15.760000000000048, 15.620000000000005, 16.54000000000002, 17.200000000000045]","[15.550000000000011, 15.760000000000048, 15.620000000000005, 16.54000000000002, 17.200000000000045]","[15.550000000000011, 15.760000000000048, 15.620000000000005, 16.54000000000002, 17.200000000000045]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[3.528, 2.3400000000000003, 5.04, 5.004, 5.724]"
18,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Lorena', 'Lorena', 'Lorena', 'Lorena', 'Lorena']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-22.7308, -22.7308, -22.7308, -22.7308, -22.7308]","[-45.1247, -45.1247, -45.1247, -45.1247, -45.1247]","[14.610000000000014, 15.180000000000007, 14.710000000000036, 15.990000000000009, 16.439999999999998]","[14.610000000000014, 15.180000000000007, 14.710000000000036, 15.990000000000009, 16.439999999999998]","[14.610000000000014, 15.180000000000007, 14.710000000000036, 15.990000000000009, 16.439999999999998]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[3.204, 3.024, 4.572, 4.248, 4.392]"
