,Data,Cidade,CodigoDaCidade,Regiao,Pais,Latitude,Longigute,TemperaturaMaxima,TemperaturaMinima,TemperaturaMedia,VaiChover,ChanceDeChuva,CondicaoDoTempo,NascerDoSol,PorDoSol,VelocidadeMaximaDoVento
19,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Monteiro Lobato', 'Monteiro Lobato', 'Monteiro Lobato', 'Monteiro Lobato', 'Monteiro Lobato']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-22.9567, -22.9567, -22.9567, -22.9567, -22.9567]","[-45.8397, -45.8397, -45.8397, -45.8397, -45.8397]","[15.730000000000018, 14.010000000000048, 14.010000000000048, 15.360000000000014, 16.180000000000007]","[14.420000000000016, 14.010000000000048, 14.010000000000048, 15.360000000000014, 16.180000000000007]","[15.730000000000018, 14.010000000000048, 14.010000000000048, 15.360000000000014, 16.180000000000007]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[4.5360000000000005, 1.9800000000000002, 4.824000000000001, 5.004, 7.344]"
20,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Natividade da Serra', 'Natividade da Serra', 'Natividade da Serra', 'Natividade da Serra', 'Natividade da Serra']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.3756, -23.3756, -23.3756, -23.3756, -23.3756]","[-45.4419, -45.4419, -45.4419, -45.4419, -45.4419]","[14.270000000000039, 12.760000000000048, 13.03000000000003, 14.860000000000014, 15.430000000000007]","[11.950000000000045, 12.760000000000048, 13.03000000000003, 14.860000000000014, 15.430000000000007]","[11.950000000000045, 12.760000000000048, 13.03000000000003, 14.860000000000014, 15.430000000000007]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[4.86, 2.4120000000000004, 3.672, 5.184, 6.588]"
21,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Paraibuna', 'Paraibuna', 'Paraibuna', 'Paraibuna', 'Paraibuna']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.3861, -23.3861, -23.3861, -23.3861, -23.3861]","[-45.6622, -45.6622, -45.6622, -45.6622, -45.6622]","[15.990000000000009, 13.640000000000043, 13.710000000000036, 15.25, 15.930000000000007]","[14.720000000000027, 13.640000000000043, 13.710000000000036, 15.25, 15.930000000000007]","[15.990000000000009, 13.640000000000043, 13.710000000000036, 15.25, 15.930000000000007]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[3.3120000000000003, 3.672, 2.7720000000000002, 4.068, 5.867999999999999]"
22,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Pindamonhangaba', 'Pindamonhangaba', 'Pindamonhangaba', 'Pindamonhangaba', 'Pindamonhangaba']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-22.9239, -22.9239, -22.9239, -22.9239, -22.9239]","[-45.4617, -45.4617, -45.4617, -45.4617, -45.4617]","[14.520000000000039, 14.620000000000005, 14.460000000000036, 15.600000000000023, 15.82000000000005]","[13.140000000000043, 14.620000000000005, 14.460000000000036, 15.600000000000023, 15.82000000000005]","[13.140000000000043, 14.620000000000005, 14.460000000000036, 15.600000000000023, 15.82000000000005]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['céu limpo', 'céu limpo', 'céu limpo', 'céu limpo', 'céu limpo']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[3.456, 2.988, 4.5360000000000005, 4.5, 5.5440000000000005]"
23,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Piquete', 'Piquete', 'Piquete', 'Piquete', 'Piquete']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-22.6136, -22.6136, -22.6136, -22.6136, -22.6136]","[-45.1761, -45.1761, -45.1761, -45.1761, -45.1761]","[16.150000000000034, 15.129999999999995, 15.010000000000048, 15.890000000000043, 16.410000000000025]","[14.650000000000034, 15.129999999999995, 15.010000000000048, 15.890000000000043, 16.410000000000025]","[16.150000000000034, 15.129999999999995, 15.010000000000048, 15.890000000000043, 16.410000000000025]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[3.7800000000000002, 2.3040000000000003, 5.436, 5.5440000000000005, 5.6160000000000005]"
24,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Potim', 'Potim', 'Potim', 'Potim', 'Potim']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-22.8377, -22.8377, -22.8377, -22.8377, -22.8377]","[-45.2565, -45.2565, -45.2565, -45.2565, -45.2565]","[14.770000000000039, 15.140000000000043, 14.78000000000003, 15.879999999999995, 16.29000000000002]","[13.29000000000002, 15.140000000000043, 14.78000000000003, 15.879999999999995, 16.29000000000002]","[13.29000000000002, 15.140000000000043, 14.78000000000003, 15.879999999999995, 16.29000000000002]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[3.2760000000000002, 3.384, 4.392, 3.132, 3.24]"
25,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Queluz', 'Queluz', 'Queluz', 'Queluz', 'Queluz']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['PT', 'PT', 'PT', 'PT', 'PT']","[38.7566, 38.7566, 38.7566, 38.7566, 38.7566]","[-9.2545, -9.2545, -9.2545, -9.2545, -9.2545]","[25.860000000000014, 25.730000000000018, 23.850000000000023, 22.370000000000005, 23.379999999999995]","[25.189999999999998, 25.730000000000018, 23.850000000000023, 22.370000000000005, 23.379999999999995]","[25.860000000000014, 25.730000000000018, 23.850000000000023, 22.370000000000005, 23.379999999999995]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['céu limpo', 'céu limpo', 'céu limpo', 'céu limpo', 'céu limpo']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[7.704000000000001, 7.164, 7.74, 7.236, 7.668]"
26,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Redenção da Serra', 'Redenção da Serra', 'Redenção da Serra', 'Redenção da Serra', 'Redenção da Serra']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.2669, -23.2669, -23.2669, -23.2669, -23.2669]","[-45.5367, -45.5367, -45.5367, -45.5367, -45.5367]","[13.560000000000002, 12.810000000000002, 12.960000000000036, 14.370000000000005, 14.740000000000009]","[11.980000000000018, 12.810000000000002, 12.960000000000036, 14.370000000000005, 14.740000000000009]","[11.980000000000018, 12.810000000000002, 12.960000000000036, 14.370000000000005, 14.740000000000009]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[4.032000000000001, 4.5360000000000005, 4.932, 5.904, 7.236]"
27,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Roseira', 'Roseira', 'Roseira', 'Roseira', 'Roseira']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-22.8981, -22.8981, -22.8981, -22.8981, -22.8981]","[-45.3053, -45.3053, -45.3053, -45.3053, -45.3053]","[14.730000000000018, 14.879999999999995, 14.730000000000018, 15.810000000000002, 16.090000000000032]","[13.160000000000025, 14.879999999999995, 14.730000000000018, 15.810000000000002, 16.090000000000032]","[13.160000000000025, 14.879999999999995, 14.730000000000018, 15.810000000000002, 16.090000000000032]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[3.492, 3.24, 4.680000000000001, 3.7800000000000002, 4.104]"
28,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Santa Branca', 'Santa Branca', 'Santa Branca', 'Santa Branca', 'Santa Branca']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.3967, -23.3967, -23.3967, -23.3967, -23.3967]","[-45.8839, -45.8839, -45.8839, -45.8839, -45.8839]","[15.82000000000005, 13.670000000000016, 13.560000000000002, 14.810000000000002, 15.470000000000027]","[14.420000000000016, 13.670000000000016, 13.560000000000002, 14.810000000000002, 15.470000000000027]","[15.82000000000005, 13.670000000000016, 13.560000000000002, 14.810000000000002, 15.470000000000027]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['céu limpo', 'céu limpo', 'céu limpo', 'céu limpo', 'céu limpo']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[4.032000000000001, 3.024, 3.744, 4.176, 5.436]"
29,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Santo Antônio do Pinhal', 'Santo Antônio do Pinhal', 'Santo Antônio do Pinhal', 'Santo Antônio do Pinhal', 'Santo Antônio do Pinhal']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-22.8272, -22.8272, -22.8272, -22.8272, -22.8272]","[-45.6625, -45.6625, -45.6625, -45.6625, -45.6625]","[11.800000000000011, 12.120000000000005, 11.890000000000043, 12.760000000000048, 12.890000000000043]","[9.410000000000025, 12.120000000000005, 11.890000000000043, 12.760000000000048, 12.890000000000043]","[9.410000000000025, 12.120000000000005, 11.890000000000043, 12.760000000000048, 12.890000000000043]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[3.8520000000000003, 2.2680000000000002, 5.328, 4.5360000000000005, 6.803999999999999]"
30,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['São Bento do Sapucaí', 'São Bento do Sapucaí', 'São Bento do Sapucaí', 'São Bento do Sapucaí', 'São Bento do Sapucaí']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-22.6885, -22.6885, -22.6885, -22.6885, -22.6885]","[-45.733, -45.733, -45.733, -45.733, -45.733]","[14.730000000000018, 14.490000000000009, 13.939999999999998, 14.54000000000002, 14.260000000000048]","[13.660000000000025, 14.490000000000009, 13.939999999999998, 14.54000000000002, 14.260000000000048]","[14.730000000000018, 14.490000000000009, 13.939999999999998, 14.54000000000002, 14.260000000000048]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[2.052, 2.592, 4.896000000000001, 3.672, 4.6080000000000005]"
31,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['São José do Barreiro', 'São José do Barreiro', 'São José do Barreiro', 'São José do Barreiro', 'São José do Barreiro']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-22.6452, -22.6452, -22.6452, -22.6452, -22.6452]","[-44.5805, -44.5805, -44.5805, -44.5805, -44.5805]","[16.25, 15.840000000000032, 15.189999999999998, 16.220000000000027, 17.24000000000001]","[16.25, 15.840000000000032, 15.189999999999998, 16.220000000000027, 17.24000000000001]","[16.25, 15.840000000000032, 15.189999999999998, 16.220000000000027, 17.24000000000001]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[1.296, 1.9440000000000002, 2.3400000000000003, 1.6560000000000001, 1.8]"
32,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['São José dos Campos', 'São José dos Campos', 'São José dos Campos', 'São José dos Campos', 'São José dos Campos']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.1794, -23.1794, -23.1794, -23.1794, -23.1794]","[-45.8869, -45.8869, -45.8869, -45.8869, -45.8869]","[16.27000000000004, 14.270000000000039, 14.129999999999995, 15.480000000000018, 16.230000000000018]","[14.860000000000014, 14.270000000000039, 14.129999999999995, 15.480000000000018, 16.230000000000018]","[16.27000000000004, 14.270000000000039, 14.129999999999995, 15.480000000000018, 16.230000000000018]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['céu limpo', 'céu limpo', 'céu limpo', 'céu limpo', 'céu limpo']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[4.5360000000000005, 0.756, 3.564, 4.14, 5.292]"
33,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['São Luiz do Paraitinga', 'São Luiz do Paraitinga', 'São Luiz do Paraitinga', 'São Luiz do Paraitinga', 'São Luiz do Paraitinga']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.222, -23.222, -23.222, -23.222, -23.222]","[-45.3109, -45.3109, -45.3109, -45.3109, -45.3109]","[14.350000000000023, 13.160000000000025, 13.840000000000032, 15.020000000000039, 15.29000000000002]","[11.770000000000039, 13.160000000000025, 13.840000000000032, 15.020000000000039, 15.29000000000002]","[11.770000000000039, 13.160000000000025, 13.840000000000032, 15.020000000000039, 15.29000000000002]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[5.22, 4.932, 6.803999999999999, 6.696000000000001, 7.704000000000001]"
34,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['São Sebastião', 'São Sebastião', 'São Sebastião', 'São Sebastião', 'São Sebastião']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['ES', 'ES', 'ES', 'ES', 'ES']","[43.3128, 43.3128, 43.3128, 43.3128, 43.3128]","[-1.975, -1.975, -1.975, -1.975, -1.975]","[18.600000000000023, 16.060000000000002, 17.480000000000018, 18.960000000000036, 20.850000000000023]","[18.470000000000027, 16.060000000000002, 17.480000000000018, 18.960000000000036, 20.850000000000023]","[18.600000000000023, 16.060000000000002, 17.480000000000018, 18.960000000000036, 20.850000000000023]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[6.9479999999999995, 8.208, 7.632000000000001, 7.128, 6.3]"
35,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Silveiras', 'Silveiras', 'Silveiras', 'Silveiras', 'Silveiras']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-22.6638, -22.6638, -22.6638, -22.6638, -22.6638]","[-44.8522, -44.8522, -44.8522, -44.8522, -44.8522]","[15.090000000000032, 15.200000000000045, 14.760000000000048, 15.910000000000025, 16.640000000000043]","[15.090000000000032, 15.200000000000045, 14.760000000000048, 15.910000000000025, 16.640000000000043]","[15.090000000000032, 15.200000000000045, 14.760000000000048, 15.910000000000025, 16.640000000000043]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[2.628, 3.528, 5.5440000000000005, 4.572, 3.744]"
36,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Taubaté', 'Taubaté', 'Taubaté', 'Taubaté', 'Taubaté']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.0264, -23.0264, -23.0264, -23.0264, -23.0264]","[-45.5553, -45.5553, -45.5553, -45.5553, -45.5553]","[13.580000000000041, 13.53000000000003, 13.32000000000005, 14.700000000000045, 15.04000000000002]","[12.990000000000009, 13.53000000000003, 13.32000000000005, 14.700000000000045, 15.04000000000002]","[12.990000000000009, 13.53000000000003, 13.32000000000005, 14.700000000000045, 15.04000000000002]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['céu limpo', 'céu limpo', 'céu limpo', 'céu limpo', 'céu limpo']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[3.9960000000000004, 2.4120000000000004, 4.680000000000001, 5.472, 6.768]"
37,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Tremembé', 'Tremembé', 'Tremembé', 'Tremembé', 'Tremembé']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-22.9583, -22.9583, -22.9583, -22.9583, -22.9583]","[-45.5494, -45.5494, -45.5494, -45.5494, -45.5494]","[14.180000000000007, 14.25, 14.020000000000039, 15.29000000000002, 15.590000000000032]","[13.200000000000045, 14.25, 14.020000000000039, 15.29000000000002, 15.590000000000032]","[13.200000000000045, 14.25, 14.020000000000039, 15.29000000000002, 15.590000000000032]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['céu limpo', 'céu limpo', 'céu limpo', 'céu limpo', 'céu limpo']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[3.564, 2.4480000000000004, 4.464, 4.896000000000001, 6.228]"
38,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.4339, -23.4339, -23.4339, -23.4339, -23.4339]","[-45.0711, -45.0711, -45.0711, -45.0711, -45.0711]","[21.0, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.0, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.0, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","['não', 'não', 'não', 'não', 'não']","[0, 0, 0, 0, 0]","['nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas', 'nuvens dispersas']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[6.372, 6.732, 4.644, 6.408, 7.74]"
